Station_name,Available_bikes,Empty_slots,Longitude,Latitude,Count_4SQUARE_POI
Clark / St-Viateur,10,2,-73.59935637563467,45.5251943015533,50
Duluth  / St-Denis,1,13,-73.57594907283782,45.52062760607925,50
Clark / Rachel,3,28,-73.58212888,45.5173538,50
Resther / du Mont-Royal,0,21,-73.58177483081818,45.52562819123256,50
de Mentana / Marie-Anne,20,6,-73.57785880565643,45.526026565221414,50
Hutchison / Prince-Arthur,0,17,-73.57610732316971,45.50975858607626,50
du Mont-Royal / Clark,7,28,-73.58685,45.51941,50
Bernard / Jeanne-Mance,22,1,-73.6049484461546,45.52428310031213,50
Jeanne-Mance / Laurier,16,7,-73.59497621666378,45.52027633320609,50
Milton / Durocher,0,27,-73.57492983341217,45.508140959417744,50
Clark / Prince-Arthur,1,28,-73.57301607728004,45.513342512307055,50
Bercy / Rachel,13,2,-73.56196403503418,45.53840340979245,22
de l'Esplanade / du Mont-Royal,11,11,-73.5883381962776,45.51825290855221,50
Villeneuve / St-Urbain,1,17,-73.590559,45.520188,50
de Rouen / Hogan,13,1,-73.55421245098114,45.53636263222538,13
de Gaspé / St-Viateur,1,18,-73.59738260507582,45.527672646696104,50
Waverly / Van Horne,5,4,-73.607723,45.527363,50
Poupart / Ontario,10,9,-73.55348825454712,45.531836726498305,17
Querbes / Laurier,4,11,-73.59788417816162,45.51748721436461,50
Berri / Cherrier,16,23,-73.5692971944809,45.519266156911335,50
Aylmer / Prince-Arthur,8,14,-73.57769787311554,45.508566869474386,50
Bloomfied / Elmwood,5,9,-73.60320568084717,45.51825588419192,50
Marie-Anne / St-Hubert,1,17,-73.5788968205452,45.5246829812827,50
Durocher / Bernard,15,0,-73.60668718814848,45.52222528598142,50
Fullum / de Rouen,14,12,-73.55876013636589,45.5321322155395,16
Sherbrooke / Frontenac,5,9,-73.56081,45.5367,25
Square St-Louis (du Square St-Louis / Laval),0,31,-73.5701286792755,45.516090801970655,50
St-André / Cherrier,13,14,-73.567695915699,45.52051578783967,50
Gauthier / Parthenais,14,0,-73.56377989053726,45.53292625574653,41
Garnier / St-Grégoire,22,0,-73.58710169792175,45.5358215436799,42
de Lanaudière / Marie-Anne,13,5,-73.57480645179749,45.52932643090091,50
de Lanaudière / du Mont-Royal,24,4,-73.57699647545813,45.53022106537559,50
Boyer / du Mont-Royal,12,15,-73.57991673052311,45.527432126380575,50
Chapleau / du Mont-Royal,18,1,-73.56936,45.53867,46
Parc de Bullion (de Bullion / Prince-Arthur),0,19,-73.57213497161865,45.515604257816335,50
Hutchison / Van Horne,19,0,-73.6106863617897,45.52497706918177,50
de Maisonneuve / Mansfield (sud),0,25,-73.57346534729004,45.502053864057466,50
Hélène-Baillargeon / St-Denis,2,17,-73.59527,45.52974,50
St-Dominique / Bernard,5,18,-73.60122251338906,45.52793332015246,50
Hutchison / des Pins,6,16,-73.57805,45.51069,50
Durocher / Sherbrooke,0,23,-73.57228517532349,45.507076248365834,50
de l'Hôtel-de-Ville / Sherbrooke,0,27,-73.56835573911665,45.5145247302944,50
Cartier / Rosemont,5,12,-73.59104454517365,45.54124722370603,39
Graham / Brookfield,17,5,-73.62985610961914,45.52022241072457,13
Brittany / Ainsley,4,13,-73.65003436803818,45.52588991809354,12
Parc Pratt (Dunlop / Van Horne),6,9,-73.61968517303467,45.51491895406187,9
de Bellechasse / de St-Vallier,4,13,-73.60112428665161,45.53341043363302,50
St-Dominique / St-Zotique,17,14,-73.6110632121563,45.53226461018495,50
Louis-Hébert / de Bellechasse,10,16,-73.58868420124054,45.546661109634606,33
de Bordeaux / St-Zotique,10,9,-73.59866470098495,45.546539011777845,45
Clark / Laurier,0,14,-73.59346926212311,45.522544455627866,50
Parc Joyce (Rockland / Lajoie),4,11,-73.614991,45.515617,11
des Érables / Bélanger,6,8,-73.60087350010872,45.54912085535069,37
Louis-Hébert / St-Zotique,9,6,-73.59576,45.55001,36
Parc du Pélican (1ère avenue / Masson),26,12,-73.57645065,45.5451997,38
de Gaspé / Beaubien,7,10,-73.60700100660324,45.531957916826386,50
Parc Père-Marquette (Chambord / Rosemont),10,33,-73.59321847558022,45.53708783301333,50
1ère avenue / Rosemont,12,3,-73.58486741781235,45.54779995287998,39
1ère  avenue / St-Zotique,7,6,-73.59392791986465,45.551937362101,26
Boyer / Rosemont,12,19,-73.59553456306458,45.53409866804061,50
Cartier / Bélanger,7,15,-73.60281676054001,45.546779039476185,48
de l'Hôtel-de-Ville / Roy,1,18,-73.57449866831303,45.51733075399989,50
de Brébeuf / du Mont-Royal,18,3,-73.57792854309082,45.52927839879717,50
Drolet / Beaubien,3,19,-73.605834,45.533348,50
5e avenue / Rosemont,6,11,-73.58308374881744,45.54990048023633,36
Chabot / Beaubien,4,10,-73.59564453363419,45.544375546398065,43
Henri-Julien / de Bellechasse,3,15,-73.60308364033699,45.5315079142152,50
27e avenue / Rosemont,7,12,-73.57139468193054,45.563709940264175,4
Drolet / St-Zotique,13,4,-73.60941231250763,45.53488214147823,50
Fullum / Holt,7,18,-73.58424894533528,45.54391953154915,35
3e avenue / Holt,10,9,-73.58138993382454,45.54800352985515,37
de St-Vallier / St-Zotique,4,14,-73.60783427975548,45.536434338630336,50
Cartier / Dandurand,9,14,-73.58594566583633,45.53923559055867,36
Graham / Wicksteed,17,2,-73.64048302173615,45.51693654712809,4
Mozart / Waverly,6,9,-73.61701235175133,45.5315236502754,50
Chabot / de Bellechasse,12,7,-73.59214425086974,45.5425697477813,31
de Lanaudière / Bélanger,11,12,-73.60565051436424,45.54365085053057,50
Waverly / St-Zotique,5,13,-73.61470833420753,45.53050525974957,50
15e avenue / Masson,16,7,-73.5713866353035,45.55389801568004,19
Fabre / St-Zotique,13,6,-73.60126135876271,45.543653916207866,50
16e avenue / St-Joseph,14,8,-73.56577143073082,45.55293611277267,17
Boyer / Bélanger,4,18,-73.60897,45.54006,50
St-Urbain / Beaubien,6,7,-73.61071854829788,45.52954744851231,50
Marie-Anne / Papineau,21,2,-73.5724139213562,45.53176697148175,49
Jeanne-Mance / Beaubien,10,3,-73.61229971051216,45.527650097960205,50
Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),2,22,-73.56881439685822,45.508204615051355,50
Marquette / Rachel,13,1,-73.5703244805336,45.52983801723605,50
Wolfe / Robin,12,9,-73.5601159930229,45.51958082831579,50
Bourbonnière / du Mont-Royal,16,6,-73.56052905321121,45.55358456339093,5
Graham / Kindersley,18,5,-73.64694982767105,45.514080696641386,3
McCulloch / de la Côte Ste-Catherine,2,13,-73.60060930252075,45.51577505385328,48
26e avenue / Beaubien,11,1,-73.5774926841259,45.56485589064712,9
de Chambly / Rachel,17,5,-73.55826258659361,45.54991069359101,6
35e avenue / Beaubien,5,22,-73.573047,45.570081,5
de Bordeaux / Sherbrooke,16,2,-73.56302618980408,45.529914321737415,36
d'Orléans / Hochelaga,19,0,-73.54901432991028,45.55061693669672,24
Jeanne-d'Arc / Ontario,9,12,-73.54187428951263,45.54959767887176,43
41e avenue / Rosemont,3,16,-73.56431499123573,45.57178977666956,2
