Station_name,Available_bikes,Longitude,Latitude
Messier / St-Joseph,10,-73.57605636119843,45.53946063965585
Square Viger (Berri / Viger),19,-73.55481594800949,45.5121682576952
Dorion / Ontario,15,-73.55821162462234,45.526991277453526
Larivière / de Lorimier,26,-73.55923354625702,45.5291345371163
Viger / Chenneville,9,-73.56089115142822,45.50531166520915
René-Lévesque / Papineau,4,-73.5499919950962,45.52097057660443
Logan / Fullum,7,-73.55117082595825,45.52836601591233
Joseph-Manseau / René-Lévesque,6,-73.57676714658737,45.491686521008035
Logan / d'Iberville,18,-73.54911457747221,45.53061161207863
du Havre / de Rouen,3,-73.55478646466509,45.53456256501449
Square Victoria (Viger / du Square-Victoria),14,-73.56295,45.50206
Métro Peel (de Maisonneuve / Stanley),7,-73.57507,45.50038
St-Antoine / St-François-Xavier,6,-73.55918794870377,45.50459069556304
Métro Place-d'Armes (Viger / St-Urbain),18,-73.55967122894072,45.50631445605528
Métro Laurier (Berri / Laurier),10,-73.58843871625139,45.52809995527671
St-Hubert / de Maisonneuve (nord),3,-73.56049686670303,45.51613214980722
de Rouen / Lespérance,12,-73.5528177022934,45.538859462962286
Calixa-Lavallée / Sherbrooke,1,-73.56545,45.52479
St-Hubert / Duluth,1,-73.57418417930603,45.522425652788634
de Bullion / du Mont-Royal,4,-73.58498811721802,45.52141314643908
de Lanaudière / Laurier,17,-73.58373686671257,45.5333136054992
Laval / Duluth,0,-73.57718793155072,45.51922631024093
Vallières / St-Laurent,7,-73.5836161673069,45.518967223320054
Duluth / de l'Esplanade,1,-73.58105599880219,45.515132275425785
Hogan / Ontario,8,-73.55116009712219,45.535295480380306
la Fontaine / Alexandre-de-Sève,14,-73.55799973011017,45.52330366033427
Ste-Catherine / Union,6,-73.56948494911194,45.50373771539475
Chabot / Mont-Royal,11,-73.57352435588837,45.53413436610844
Gauthier / Papineau,4,-73.56733649969101,45.52966629503036
Messier / du Mont-Royal,11,-73.5710031,45.53711414
Laval / du Mont-Royal,4,-73.58414590358734,45.5223645775784
Jeanne-Mance / Sherbrooke,18,-73.57101917266846,45.50928678961862
Métro Laurier (Berri / St-Joseph),6,-73.58672618865965,45.52723106564012
Pontiac / Gilford,4,-73.58576595783234,45.527009334270645
Christophe-Colomb / St-Joseph,8,-73.58439266681671,45.53036486555959
Cartier / St-Joseph,8,-73.57869029045105,45.53582823686429
Métro Frontenac (Ontario / du Havre),6,-73.55217933654784,45.533705987798946
Roy / St-Denis,7,-73.5727,45.51908
Maguire / Henri-Julien,10,-73.59347056655677,45.527041096087785
Laurier / de Brébeuf,22,-73.58481109142303,45.532513956311426
Laurier / de Bordeaux,2,-73.5791677236557,45.53727946481992
Henri-Julien / du Carmel,0,-73.59502326697111,45.52795093787009
Cartier / Masson,9,-73.58352363109587,45.5380207402854
Parc Ludger-Duvernay (St-André / St-Hubert),7,-73.59242051839828,45.53147464147482
Boucher / St-Denis,4,-73.59183847904205,45.527930077456865
Drolet / Marie-Anne,6,-73.58117669820786,45.522402573414084
St-André / Rachel,1,-73.57596650719643,45.52435318759273
Parc Jeanne-Mance (monument à sir George-Étienne Cartier),20,-73.58475860237377,45.514866433022796
Roy / St-André,3,-73.57036739587784,45.521564270906616
Garnier / St-Joseph,1,-73.58128666877745,45.5330129192707
de l'Esplanade / Fairmount,10,-73.5968267172575,45.521495731487576
Jeanne-Mance / St-Viateur,18,-73.60184043645859,45.523026476635074
du Parc-La Fontaine / Duluth,2,-73.57197672128677,45.52451761488783
Casgrain / St-Viateur,10,-73.59879076480864,45.52751292628879
St-Dominique / Laurier,22,-73.59245739877223,45.52361490311454
de Bullion / St-Joseph,20,-73.59015061847458,45.52404631813311
de Gaspé / Fairmount,7,-73.59285570681095,45.52557815939422
de l'Hôtel-de-Ville / Villeneuve,10,-73.58732756238169,45.52348082760688
Henri-Julien / Laurier,4,-73.59033644199371,45.52574657625029
Marquette / Laurier,23,-73.5822,45.53543
Milton / du Parc,2,-73.57386365532875,45.50936142835129
Waverly / St-Viateur,10,-73.60012650489807,45.5238561444472
de Bordeaux / Gilford,18,-73.5762870311737,45.53611005443118
de Bordeaux / Masson,10,-73.5824453830719,45.53898439552301
Labadie / du Parc,14,-73.59682738780975,45.5198946757576
Fullum / Marie-Anne,8,-73.56803923845291,45.53650541861215
Parthenais / du Mont-Royal,19,-73.57141345739365,45.53640396516409
Clark / St-Viateur,4,-73.59935637563467,45.5251943015533
Duluth  / St-Denis,6,-73.57594907283782,45.52062760607925
Clark / Rachel,0,-73.58212888,45.5173538
Resther / du Mont-Royal,15,-73.58177483081818,45.52562819123256
de Mentana / Marie-Anne,5,-73.57785880565643,45.526026565221414
Hutchison / Prince-Arthur,9,-73.57610732316971,45.50975858607626
du Mont-Royal / Clark,8,-73.58685,45.51941
Bernard / Jeanne-Mance,9,-73.6049484461546,45.52428310031213
Jeanne-Mance / Laurier,23,-73.59497621666378,45.52027633320609
Milton / Durocher,3,-73.57492983341217,45.508140959417744
Clark / Prince-Arthur,0,-73.57301607728004,45.513342512307055
Bercy / Rachel,9,-73.56196403503418,45.53840340979245
de l'Esplanade / du Mont-Royal,3,-73.5883381962776,45.51825290855221
Villeneuve / St-Urbain,0,-73.590559,45.520188
de Rouen / Hogan,5,-73.55421245098114,45.53636263222538
de Gaspé / St-Viateur,10,-73.59738260507582,45.527672646696104
Waverly / Van Horne,3,-73.607723,45.527363
Poupart / Ontario,14,-73.55348825454712,45.531836726498305
Querbes / Laurier,2,-73.59788417816162,45.51748721436461
Berri / Cherrier,1,-73.5692971944809,45.519266156911335
Aylmer / Prince-Arthur,6,-73.57769787311554,45.508566869474386
Bloomfied / Elmwood,14,-73.60320568084717,45.51825588419192
Marie-Anne / St-Hubert,8,-73.5788968205452,45.5246829812827
Durocher / Bernard,14,-73.60668718814848,45.52222528598142
Fullum / de Rouen,15,-73.55876013636589,45.5321322155395
Sherbrooke / Frontenac,9,-73.56081,45.5367
Square St-Louis (du Square St-Louis / Laval),15,-73.5701286792755,45.516090801970655
St-André / Cherrier,6,-73.567695915699,45.52051578783967
Gauthier / Parthenais,5,-73.56377989053726,45.53292625574653
Garnier / St-Grégoire,3,-73.58710169792175,45.5358215436799
de Lanaudière / Marie-Anne,4,-73.57480645179749,45.52932643090091
de Lanaudière / du Mont-Royal,16,-73.57699647545813,45.53022106537559
Boyer / du Mont-Royal,19,-73.57991673052311,45.527432126380575
Chapleau / du Mont-Royal,10,-73.56936,45.53867
Parc de Bullion (de Bullion / Prince-Arthur),1,-73.57213497161865,45.515604257816335
Hutchison / Van Horne,10,-73.6106863617897,45.52497706918177
de Maisonneuve / Mansfield (sud),6,-73.57346534729004,45.502053864057466
Hélène-Baillargeon / St-Denis,4,-73.59527,45.52974
St-Dominique / Bernard,12,-73.60122251338906,45.52793332015246
Hutchison / des Pins,10,-73.57805,45.51069
Durocher / Sherbrooke,0,-73.57228517532349,45.507076248365834
de l'Hôtel-de-Ville / Sherbrooke,1,-73.56835573911665,45.514524730294404
Cartier / Rosemont,3,-73.59104454517365,45.54124722370603
Graham / Brookfield,18,-73.62985610961914,45.52022241072457
Brittany / Ainsley,7,-73.65003436803818,45.52588991809354
Parc Pratt (Dunlop / Van Horne),5,-73.61968517303467,45.514918954061876
de Bellechasse / de St-Vallier,4,-73.60112428665161,45.53341043363302
St-Dominique / St-Zotique,19,-73.6110632121563,45.53226461018495
Louis-Hébert / de Bellechasse,10,-73.58868420124054,45.546661109634606
de Bordeaux / St-Zotique,6,-73.59866470098495,45.546539011777845
Clark / Laurier,8,-73.59346926212311,45.522544455627866
Parc Joyce (Rockland / Lajoie),13,-73.614991,45.515617
des Érables / Bélanger,8,-73.60087350010872,45.54912085535069
Louis-Hébert / St-Zotique,10,-73.59576,45.55001
Parc du Pélican (1ère avenue / Masson),28,-73.57645065,45.5451997
de Gaspé / Beaubien,7,-73.60700100660324,45.531957916826386
Parc Père-Marquette (Chambord / Rosemont),17,-73.59321847558022,45.537087833013324
